Subject ID,Duration,PK OR,PK Terms,PK Total,Intrinsic Load,Extraneous Load,Germane Load,Head Score,Tired Dif,Stress Dif,Annoy Dif,Bored Dif,Distract Dif,Retention OR1,Retention OR2,Retention OR Total,Retention OR %,Retention MC,Retention MC %,Retention Total,Retention Total %,Transfer MC,Transfer MC%,Transfer OR,Transfer OR%,Transfer Total,Transfer Total %,Age ,Gender,Fluency,Native,Relevancy,Animated?,Condition
176,17.48333333,0,4,5,3.666666667,8,8,3,1,1,-6,3,-1,0,2,2,0.095238095,8,0.571428571,10,0.285714286,2,0.666666667,1,0.090909091,3,0.214285714,20,Female,Fluent,Native,Irrelevant,Animation,Irrelevant Animation
177,17.41666667,1,11,16,5.666666667,10,8,3,-2,-1,0,0,-1,1,1,2,0.095238095,10,0.714285714,12,0.342857143,3,1,3,0.272727273,6,0.428571429,23,Male,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
178,18.81666667,0,4,5,8.333333333,7.5,4.666666667,3,0,0,0,0,-2,1,0,1,0.047619048,4,0.285714286,5,0.142857143,1,0.333333333,3,0.272727273,4,0.285714286,21,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
179,16.51666667,0,0,1,7.666666667,6,5.333333333,4,-2,0,0,-2,-2,1,0,1,0.047619048,7,0.5,8,0.228571429,2,0.666666667,3,0.272727273,5,0.357142857,20,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
180,20.88333333,0,3,4,2.333333333,3,4.333333333,,0,-2,-1,0,-2,0,0,0,0,8,0.571428571,8,0.228571429,3,1,2,0.181818182,5,0.357142857,20,Female,Non-Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
181,18.76666667,1,3,5,7.333333333,5.5,3.666666667,3,-2,-1,-1,-2,-3,1,2,3,0.142857143,8,0.571428571,11,0.314285714,1,0.333333333,3,0.272727273,4,0.285714286,22,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
182,11.13333333,0,7,9,7,9,5,3,0,1,-1,-1,-2,0,0,0,0,11,0.785714286,11,0.314285714,2,0.666666667,2,0.181818182,4,0.285714286,21,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
183,14.91666667,1,1,3,1,0,1.333333333,3,-2,-1,-3,0,-2,0,2,2,0.095238095,8,0.571428571,10,0.285714286,3,1,2,0.181818182,5,0.357142857,21,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
184,23.81666667,0,4,5,1.333333333,2.5,2.333333333,3,1,0,-3,-3,-1,3,2,5,0.238095238,12,0.857142857,17,0.485714286,0,0,3,0.272727273,3,0.214285714,21,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
185,14.68333333,0,2,3,3.333333333,7,7,2,-2,1,0,1,-1,1,1,2,0.095238095,8,0.571428571,10,0.285714286,2,0.666666667,4,0.363636364,6,0.428571429,19,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
186,18.73333333,0,7,11,5.666666667,9,9.666666667,1,1,2,-2,0,-2,2,1,3,0.142857143,5,0.357142857,8,0.228571429,2,0.666666667,4,0.363636364,6,0.428571429,19,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
187,20.68333333,0,0,1,3,6.5,3.666666667,1,-1,3,0,-2,-2,0,0,0,0,2,0.142857143,2,0.057142857,0,0,1,0.090909091,1,0.071428571,19,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
188,13.25,1,3,6,0.666666667,3,2.333333333,2,0,-1,-1,-2,0,0,0,0,0,9,0.642857143,9,0.257142857,1,0.333333333,1,0.090909091,2,0.142857143,18,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
189,17.63333333,0,2,3,3.333333333,6.5,5,3,1,-1,0,0,-1,2,1,3,0.142857143,9,0.642857143,12,0.342857143,2,0.666666667,5,0.454545455,7,0.5,19,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
190,25.4,2,7,12,7.666666667,9,9.666666667,3,0,0,1,1,0,4,1,5,0.238095238,6,0.428571429,11,0.314285714,3,1,2,0.181818182,5,0.357142857,23,Male,Non-Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
191,13.53333333,0,4,6,6,5,4.666666667,3,-3,1,2,0,-1,1,0,1,0.047619048,6,0.428571429,7,0.2,3,1,2,0.181818182,5,0.357142857,20,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
192,20.38333333,1,0,2,4.666666667,7,5.333333333,3,1,0,-2,-1,-1,0,2,2,0.095238095,5,0.357142857,7,0.2,3,1,2,0.181818182,5,0.357142857,19,Female,Non-Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
193,18.25,0,1,2,2.666666667,5,4,2,-1,2,-1,-1,1,2,3,5,0.238095238,11,0.785714286,16,0.457142857,3,1,4,0.363636364,7,0.5,18,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
194,14.66666667,1,2,5,2,6.5,2.333333333,3,2,-1,0,-1,0,1,0,1,0.047619048,8,0.571428571,9,0.257142857,1,0.333333333,1,0.090909091,2,0.142857143,21,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
195,17.4,0,3,4,1.666666667,2,4.333333333,3,-2,0,-2,-2,-2,0,1,1,0.047619048,8,0.571428571,9,0.257142857,0,0,2,0.181818182,2,0.142857143,19,Female,Fluent,Native,Irrelevant,Static,Irrelevant Static
196,21.43333333,0,1,2,4,3,4.333333333,2,1,0,0,1,0,4,3,7,0.333333333,10,0.714285714,17,0.485714286,2,0.666666667,5,0.454545455,7,0.5,20,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
197,33.7,0,0,1,4.333333333,3.5,1.666666667,3,0,1,1,0,-4,0,1,1,0.047619048,3,0.214285714,4,0.114285714,2,0.666666667,3,0.272727273,5,0.357142857,22,Female,Non-Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
198,25.8,0,1,3,6.666666667,6,5.666666667,3,1,0,1,-1,-2,2,1,3,0.142857143,7,0.5,10,0.285714286,1,0.333333333,3,0.272727273,4,0.285714286,19,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
199,20.91666667,1,0,2,5.666666667,4.5,7.333333333,3,0,3,2,1,2,2,3,5,0.238095238,9,0.642857143,14,0.4,2,0.666666667,4,0.363636364,6,0.428571429,21,Female,Fluent,Non-Native,Irrelevant,Static,Irrelevant Static
